gym_id,gym_name,region,gym_size,sku,product_name,category,vendor,par_level,on_hand,avg_weekly_sales,weeks_of_supply,stock_status,cost,retail,inventory_value_cost,inventory_value_retail,days_since_last_receipt
MOV-002,Movement RiNo,Colorado,Large,SH-005,Evolv Shaman,Climbing Shoes,Evolv,15,14,1.6,8.5,In Stock,85.0,169.95,1190.0,2379.3,4
MOV-002,Movement RiNo,Colorado,Large,SH-006,Scarpa Instinct VS,Climbing Shoes,Scarpa,15,2,2.9,0.7,Critical Low,90.0,179.95,180.0,359.9,55
MOV-002,Movement RiNo,Colorado,Large,SH-007,Black Diamond Momentum,Climbing Shoes,Black Diamond,15,7,3.6,1.9,Critical Low,42.0,84.95,294.0,594.65,6
MOV-002,Movement RiNo,Colorado,Large,HR-001,Petzl Corax,Harnesses,Petzl,12,6,1.9,3.1,Low,32.0,64.95,192.0,389.7,15
MOV-002,Movement RiNo,Colorado,Large,HR-002,Black Diamond Momentum Harness,Harnesses,Black Diamond,12,10,2.7,3.6,Low,30.0,59.95,300.0,599.5,18
MOV-002,Movement RiNo,Colorado,Large,HR-003,Petzl Sitta,Harnesses,Petzl,12,7,2.2,3.2,Low,70.0,139.95,490.0,979.65,11
MOV-002,Movement RiNo,Colorado,Large,HR-004,Mammut Ophir 4 Slide,Harnesses,Mammut,12,7,1.6,4.5,In Stock,35.0,69.95,245.0,489.65,57
MOV-002,Movement RiNo,Colorado,Large,CH-001,FrictionLabs Unicorn Dust,Chalk,FrictionLabs,37,27,5.0,5.4,In Stock,10.0,21.95,270.0,592.65,32
MOV-002,Movement RiNo,Colorado,Large,CH-002,FrictionLabs Gorilla Grip,Chalk,FrictionLabs,37,18,8.1,2.2,Low,12.0,24.95,216.0,449.1,18
MOV-002,Movement RiNo,Colorado,Large,CH-003,Metolius Super Chalk,Chalk,Metolius,37,24,6.9,3.5,Low,4.0,9.95,96.0,238.8,3
MOV-002,Movement RiNo,Colorado,Large,CH-004,Black Diamond White Gold,Chalk,Black Diamond,37,28,7.6,3.7,Low,5.0,11.95,140.0,334.6,37
MOV-002,Movement RiNo,Colorado,Large,BD-001,Petzl GriGri+,Belay Devices,Petzl,7,2,1.0,2.0,Low,55.0,109.95,110.0,219.9,19
MOV-002,Movement RiNo,Colorado,Large,BD-002,Black Diamond ATC-XP,Belay Devices,Black Diamond,7,7,1.3,5.6,In Stock,12.0,24.95,84.0,174.65,58
MOV-002,Movement RiNo,Colorado,Large,BD-003,Mammut Smart 2.0,Belay Devices,Mammut,7,5,1.1,4.5,In Stock,15.0,29.95,75.0,149.75,42
MOV-002,Movement RiNo,Colorado,Large,CB-001,Petzl Attache,Carabiners,Petzl,7,2,0.9,2.3,Low,8.0,16.95,16.0,33.9,2
MOV-002,Movement RiNo,Colorado,Large,CB-002,Black Diamond RockLock,Carabiners,Black Diamond,7,4,1.3,3.0,Low,7.0,14.95,28.0,59.8,53
MOV-002,Movement RiNo,Colorado,Large,CB-003,Petzl Djinn Quickdraw,Carabiners,Petzl,7,0,1.1,0.0,Out of Stock,12.0,24.95,0.0,0.0,44
MOV-002,Movement RiNo,Colorado,Large,CB-101,Metolius Competition Chalk Bag,Chalk Bags,Metolius,12,6,0.8,7.5,In Stock,8.0,17.95,48.0,107.7,25
MOV-002,Movement RiNo,Colorado,Large,CB-102,Mammut Gym Print Chalk Bag,Chalk Bags,Mammut,12,3,2.5,1.2,Critical Low,10.0,21.95,30.0,65.85,9
MOV-002,Movement RiNo,Colorado,Large,CB-103,Black Diamond Mojo Chalk Bag,Chalk Bags,Black Diamond,12,11,2.0,5.4,In Stock,9.0,19.95,99.0,219.45,12
MOV-002,Movement RiNo,Colorado,Large,RP-001,Beal Stinger III 9.4mm,Ropes,Beal,7,6,0.7,9.1,In Stock,95.0,189.95,570.0,1139.7,43
MOV-002,Movement RiNo,Colorado,Large,RP-002,Mammut Crag Classic 9.8mm,Ropes,Mammut,7,7,1.2,5.9,In Stock,80.0,159.95,560.0,1119.65,50
MOV-002,Movement RiNo,Colorado,Large,AP-001,prAna Stretch Zion Pant,Apparel,prAna,15,16,3.5,4.6,In Stock,40.0,85.0,640.0,1360.0,50
MOV-002,Movement RiNo,Colorado,Large,AP-002,prAna Bridger Jean,Apparel,prAna,15,5,2.7,1.9,Critical Low,35.0,75.0,175.0,375.0,52
MOV-002,Movement RiNo,Colorado,Large,AP-003,Movement Logo Tee,Apparel,prAna,15,10,2.2,4.5,In Stock,8.0,25.0,80.0,250.0,15
MOV-002,Movement RiNo,Colorado,Large,TR-001,Metolius Simulator 3D,Training,Metolius,7,0,1.5,0.0,Out of Stock,20.0,44.95,0.0,0.0,4
MOV-002,Movement RiNo,Colorado,Large,TR-002,Metolius Rock Rings,Training,Metolius,7,2,0.9,2.1,Low,15.0,34.95,30.0,69.9,48
MOV-003,Movement Englewood,Colorado,Medium,SH-001,La Sportiva Tarantula,Climbing Shoes,La Sportiva,10,3,1.6,1.9,Critical Low,45.0,89.95,135.0,269.85,3
MOV-003,Movement Englewood,Colorado,Medium,SH-002,La Sportiva Finale,Climbing Shoes,La Sportiva,10,11,1.1,10.2,In Stock,50.0,99.95,550.0,1099.45,36
MOV-003,Movement Englewood,Colorado,Medium,SH-003,La Sportiva Solution,Climbing Shoes,La Sportiva,10,3,1.8,1.7,Critical Low,95.0,189.95,285.0,569.85,34
MOV-003,Movement Englewood,Colorado,Medium,SH-004,Evolv Defy,Climbing Shoes,Evolv,10,3,2.5,1.2,Critical Low,40.0,79.95,120.0,239.85,51
MOV-003,Movement Englewood,Colorado,Medium,SH-005,Evolv Shaman,Climbing Shoes,Evolv,10,6,2.0,3.0,Low,85.0,169.95,510.0,1019.7,35
MOV-003,Movement Englewood,Colorado,Medium,SH-006,Scarpa Instinct VS,Climbing Shoes,Scarpa,10,6,2.9,2.1,Low,90.0,179.95,540.0,1079.7,19
MOV-003,Movement Englewood,Colorado,Medium,SH-007,Black Diamond Momentum,Climbing Shoes,Black Diamond,10,2,1.9,1.0,Critical Low,42.0,84.95,84.0,169.9,35
MOV-003,Movement Englewood,Colorado,Medium,HR-001,Petzl Corax,Harnesses,Petzl,8,8,1.1,7.1,In Stock,32.0,64.95,256.0,519.6,24
MOV-003,Movement Englewood,Colorado,Medium,HR-002,Black Diamond Momentum Harness,Harnesses,Black Diamond,8,2,1.5,1.3,Critical Low,30.0,59.95,60.0,119.9,29
MOV-003,Movement Englewood,Colorado,Medium,HR-003,Petzl Sitta,Harnesses,Petzl,8,3,1.7,1.8,Critical Low,70.0,139.95,210.0,419.85,48
MOV-003,Movement Englewood,Colorado,Medium,HR-004,Mammut Ophir 4 Slide,Harnesses,Mammut,8,5,1.1,4.5,In Stock,35.0,69.95,175.0,349.75,45
MOV-003,Movement Englewood,Colorado,Medium,CH-001,FrictionLabs Unicorn Dust,Chalk,FrictionLabs,25,27,5.1,5.3,In Stock,10.0,21.95,270.0,592.65,40
MOV-003,Movement Englewood,Colorado,Medium,CH-002,FrictionLabs Gorilla Grip,Chalk,FrictionLabs,25,21,4.2,5.0,In Stock,12.0,24.95,252.0,523.95,25
MOV-003,Movement Englewood,Colorado,Medium,CH-003,Metolius Super Chalk,Chalk,Metolius,25,18,2.4,7.5,In Stock,4.0,9.95,72.0,179.1,15
MOV-003,Movement Englewood,Colorado,Medium,CH-004,Black Diamond White Gold,Chalk,Black Diamond,25,11,3.2,3.4,Low,5.0,11.95,55.0,131.45,4
MOV-003,Movement Englewood,Colorado,Medium,BD-001,Petzl GriGri+,Belay Devices,Petzl,5,3,1.1,2.7,Low,55.0,109.95,165.0,329.85,44
MOV-003,Movement Englewood,Colorado,Medium,BD-002,Black Diamond ATC-XP,Belay Devices,Black Diamond,5,2,0.8,2.4,Low,12.0,24.95,24.0,49.9,22
MOV-003,Movement Englewood,Colorado,Medium,BD-003,Mammut Smart 2.0,Belay Devices,Mammut,5,6,0.7,9.1,In Stock,15.0,29.95,90.0,179.7,6
MOV-003,Movement Englewood,Colorado,Medium,CB-001,Petzl Attache,Carabiners,Petzl,5,5,0.6,8.0,In Stock,8.0,16.95,40.0,84.75,21
MOV-003,Movement Englewood,Colorado,Medium,CB-002,Black Diamond RockLock,Carabiners,Black Diamond,5,2,0.5,4.0,In Stock,7.0,14.95,14.0,29.9,27
MOV-003,Movement Englewood,Colorado,Medium,CB-003,Petzl Djinn Quickdraw,Carabiners,Petzl,5,2,0.5,3.8,Low,12.0,24.95,24.0,49.9,35
MOV-003,Movement Englewood,Colorado,Medium,CB-101,Metolius Competition Chalk Bag,Chalk Bags,Metolius,8,13,1.0,13.7,Overstock,8.0,17.95,104.0,233.35,11
MOV-003,Movement Englewood,Colorado,Medium,CB-102,Mammut Gym Print Chalk Bag,Chalk Bags,Mammut,8,3,1.2,2.4,Low,10.0,21.95,30.0,65.85,37
MOV-003,Movement Englewood,Colorado,Medium,CB-103,Black Diamond Mojo Chalk Bag,Chalk Bags,Black Diamond,8,7,1.2,5.7,In Stock,9.0,19.95,63.0,139.65,1
MOV-003,Movement Englewood,Colorado,Medium,RP-001,Beal Stinger III 9.4mm,Ropes,Beal,5,5,0.7,7.6,In Stock,95.0,189.95,475.0,949.75,45
MOV-003,Movement Englewood,Colorado,Medium,RP-002,Mammut Crag Classic 9.8mm,Ropes,Mammut,5,2,1.4,1.4,Critical Low,80.0,159.95,160.0,319.9,5
MOV-003,Movement Englewood,Colorado,Medium,AP-001,prAna Stretch Zion Pant,Apparel,prAna,10,0,1.7,0.0,Out of Stock,40.0,85.0,0.0,0.0,24
MOV-003,Movement Englewood,Colorado,Medium,AP-002,prAna Bridger Jean,Apparel,prAna,10,8,1.2,6.5,In Stock,35.0,75.0,280.0,600.0,10
MOV-003,Movement Englewood,Colorado,Medium,AP-003,Movement Logo Tee,Apparel,prAna,10,9,1.8,5.1,In Stock,8.0,25.0,72.0,225.0,40
MOV-003,Movement Englewood,Colorado,Medium,TR-001,Metolius Simulator 3D,Training,Metolius,5,1,0.7,1.4,Critical Low,20.0,44.95,20.0,44.95,33
MOV-003,Movement Englewood,Colorado,Medium,TR-002,Metolius Rock Rings,Training,Metolius,5,4,1.1,3.7,Low,15.0,34.95,60.0,139.8,18
MOV-004,Movement Golden,Colorado,Medium,SH-001,La Sportiva Tarantula,Climbing Shoes,La Sportiva,10,4,1.3,3.0,Low,45.0,89.95,180.0,359.8,50
MOV-004,Movement Golden,Colorado,Medium,SH-002,La Sportiva Finale,Climbing Shoes,La Sportiva,10,3,0.8,3.8,Low,50.0,99.95,150.0,299.85,53
MOV-004,Movement Golden,Colorado,Medium,SH-003,La Sportiva Solution,Climbing Shoes,La Sportiva,10,5,1.5,3.4,Low,95.0,189.95,475.0,949.75,1
MOV-004,Movement Golden,Colorado,Medium,SH-004,Evolv Defy,Climbing Shoes,Evolv,10,10,2.1,4.7,In Stock,40.0,79.95,400.0,799.5,4
MOV-004,Movement Golden,Colorado,Medium,SH-005,Evolv Shaman,Climbing Shoes,Evolv,10,9,1.0,8.6,In Stock,85.0,169.95,765.0,1529.55,51
MOV-004,Movement Golden,Colorado,Medium,SH-006,Scarpa Instinct VS,Climbing Shoes,Scarpa,10,4,1.2,3.4,Low,90.0,179.95,360.0,719.8,2
MOV-004,Movement Golden,Colorado,Medium,SH-007,Black Diamond Momentum,Climbing Shoes,Black Diamond,10,6,1.4,4.2,In Stock,42.0,84.95,252.0,509.7,48
MOV-004,Movement Golden,Colorado,Medium,HR-001,Petzl Corax,Harnesses,Petzl,8,2,1.0,2.0,Low,32.0,64.95,64.0,129.9,33
MOV-004,Movement Golden,Colorado,Medium,HR-002,Black Diamond Momentum Harness,Harnesses,Black Diamond,8,0,1.3,0.0,Out of Stock,30.0,59.95,0.0,0.0,34
MOV-004,Movement Golden,Colorado,Medium,HR-003,Petzl Sitta,Harnesses,Petzl,8,5,0.6,8.6,In Stock,70.0,139.95,350.0,699.75,25
MOV-004,Movement Golden,Colorado,Medium,HR-004,Mammut Ophir 4 Slide,Harnesses,Mammut,8,6,2.8,2.2,Low,35.0,69.95,210.0,419.7,24
MOV-004,Movement Golden,Colorado,Medium,CH-001,FrictionLabs Unicorn Dust,Chalk,FrictionLabs,25,17,4.5,3.7,Low,10.0,21.95,170.0,373.15,32
MOV-004,Movement Golden,Colorado,Medium,CH-002,FrictionLabs Gorilla Grip,Chalk,FrictionLabs,25,21,5.3,3.9,Low,12.0,24.95,252.0,523.95,42
MOV-004,Movement Golden,Colorado,Medium,CH-003,Metolius Super Chalk,Chalk,Metolius,25,28,3.7,7.6,In Stock,4.0,9.95,112.0,278.6,49
MOV-004,Movement Golden,Colorado,Medium,CH-004,Black Diamond White Gold,Chalk,Black Diamond,25,23,3.2,7.2,In Stock,5.0,11.95,115.0,274.85,14
MOV-004,Movement Golden,Colorado,Medium,BD-001,Petzl GriGri+,Belay Devices,Petzl,5,1,0.5,1.9,Critical Low,55.0,109.95,55.0,109.95,32
MOV-004,Movement Golden,Colorado,Medium,BD-002,Black Diamond ATC-XP,Belay Devices,Black Diamond,5,4,0.5,7.9,In Stock,12.0,24.95,48.0,99.8,28
MOV-004,Movement Golden,Colorado,Medium,BD-003,Mammut Smart 2.0,Belay Devices,Mammut,5,3,0.9,3.5,Low,15.0,29.95,45.0,89.85,32
MOV-004,Movement Golden,Colorado,Medium,CB-001,Petzl Attache,Carabiners,Petzl,5,5,0.5,10.0,In Stock,8.0,16.95,40.0,84.75,44
MOV-004,Movement Golden,Colorado,Medium,CB-002,Black Diamond RockLock,Carabiners,Black Diamond,5,2,1.0,2.1,Low,7.0,14.95,14.0,29.9,41
MOV-004,Movement Golden,Colorado,Medium,CB-003,Petzl Djinn Quickdraw,Carabiners,Petzl,5,3,0.6,5.3,In Stock,12.0,24.95,36.0,74.85,46
MOV-004,Movement Golden,Colorado,Medium,CB-101,Metolius Competition Chalk Bag,Chalk Bags,Metolius,8,6,1.6,3.7,Low,8.0,17.95,48.0,107.7,5
MOV-004,Movement Golden,Colorado,Medium,CB-102,Mammut Gym Print Chalk Bag,Chalk Bags,Mammut,8,5,1.8,2.8,Low,10.0,21.95,50.0,109.75,55
MOV-004,Movement Golden,Colorado,Medium,CB-103,Black Diamond Mojo Chalk Bag,Chalk Bags,Black Diamond,8,5,1.0,5.0,In Stock,9.0,19.95,45.0,99.75,27
MOV-004,Movement Golden,Colorado,Medium,RP-001,Beal Stinger III 9.4mm,Ropes,Beal,5,3,0.5,6.0,In Stock,95.0,189.95,285.0,569.85,25
MOV-004,Movement Golden,Colorado,Medium,RP-002,Mammut Crag Classic 9.8mm,Ropes,Mammut,5,3,0.5,6.0,In Stock,80.0,159.95,240.0,479.85,2
MOV-004,Movement Golden,Colorado,Medium,AP-001,prAna Stretch Zion Pant,Apparel,prAna,10,9,1.9,4.8,In Stock,40.0,85.0,360.0,765.0,18
MOV-004,Movement Golden,Colorado,Medium,AP-002,prAna Bridger Jean,Apparel,prAna,10,6,1.0,6.1,In Stock,35.0,75.0,210.0,450.0,17
MOV-004,Movement Golden,Colorado,Medium,AP-003,Movement Logo Tee,Apparel,prAna,10,7,2.6,2.7,Low,8.0,25.0,56.0,175.0,18
MOV-004,Movement Golden,Colorado,Medium,TR-001,Metolius Simulator 3D,Training,Metolius,5,2,1.1,1.8,Critical Low,20.0,44.95,40.0,89.9,33
MOV-004,Movement Golden,Colorado,Medium,TR-002,Metolius Rock Rings,Training,Metolius,5,2,0.9,2.2,Low,15.0,34.95,30.0,69.9,31
MOV-005,Movement Boulder,Colorado,Medium,SH-001,La Sportiva Tarantula,Climbing Shoes,La Sportiva,10,9,2.0,4.4,In Stock,45.0,89.95,405.0,809.55,55
MOV-005,Movement Boulder,Colorado,Medium,SH-002,La Sportiva Finale,Climbing Shoes,La Sportiva,10,11,1.0,10.8,In Stock,50.0,99.95,550.0,1099.45,23
MOV-005,Movement Boulder,Colorado,Medium,SH-003,La Sportiva Solution,Climbing Shoes,La Sportiva,10,6,1.5,4.0,In Stock,95.0,189.95,570.0,1139.7,28
MOV-005,Movement Boulder,Colorado,Medium,SH-004,Evolv Defy,Climbing Shoes,Evolv,10,7,2.2,3.1,Low,40.0,79.95,280.0,559.65,9
MOV-005,Movement Boulder,Colorado,Medium,SH-005,Evolv Shaman,Climbing Shoes,Evolv,10,5,1.8,2.8,Low,85.0,169.95,425.0,849.75,57
MOV-005,Movement Boulder,Colorado,Medium,SH-006,Scarpa Instinct VS,Climbing Shoes,Scarpa,10,4,2.2,1.8,Critical Low,90.0,179.95,360.0,719.8,22
MOV-005,Movement Boulder,Colorado,Medium,SH-007,Black Diamond Momentum,Climbing Shoes,Black Diamond,10,11,0.9,11.8,In Stock,42.0,84.95,462.0,934.45,22
MOV-005,Movement Boulder,Colorado,Medium,HR-001,Petzl Corax,Harnesses,Petzl,8,5,1.1,4.4,In Stock,32.0,64.95,160.0,324.75,19
MOV-005,Movement Boulder,Colorado,Medium,HR-002,Black Diamond Momentum Harness,Harnesses,Black Diamond,8,3,2.0,1.5,Critical Low,30.0,59.95,90.0,179.85,30
MOV-005,Movement Boulder,Colorado,Medium,HR-003,Petzl Sitta,Harnesses,Petzl,8,5,1.2,4.1,In Stock,70.0,139.95,350.0,699.75,23
MOV-005,Movement Boulder,Colorado,Medium,HR-004,Mammut Ophir 4 Slide,Harnesses,Mammut,8,4,1.3,3.1,Low,35.0,69.95,140.0,279.8,49
MOV-005,Movement Boulder,Colorado,Medium,CH-001,FrictionLabs Unicorn Dust,Chalk,FrictionLabs,25,17,3.7,4.6,In Stock,10.0,21.95,170.0,373.15,8
MOV-005,Movement Boulder,Colorado,Medium,CH-002,FrictionLabs Gorilla Grip,Chalk,FrictionLabs,25,19,3.6,5.3,In Stock,12.0,24.95,228.0,474.05,19
MOV-005,Movement Boulder,Colorado,Medium,CH-003,Metolius Super Chalk,Chalk,Metolius,25,27,3.0,9.1,In Stock,4.0,9.95,108.0,268.65,15
MOV-005,Movement Boulder,Colorado,Medium,CH-004,Black Diamond White Gold,Chalk,Black Diamond,25,29,2.2,13.4,Overstock,5.0,11.95,145.0,346.55,26
MOV-005,Movement Boulder,Colorado,Medium,BD-001,Petzl GriGri+,Belay Devices,Petzl,5,3,0.7,4.0,In Stock,55.0,109.95,165.0,329.85,51
MOV-005,Movement Boulder,Colorado,Medium,BD-002,Black Diamond ATC-XP,Belay Devices,Black Diamond,5,2,1.4,1.4,Critical Low,12.0,24.95,24.0,49.9,7
MOV-005,Movement Boulder,Colorado,Medium,BD-003,Mammut Smart 2.0,Belay Devices,Mammut,5,4,0.5,8.0,In Stock,15.0,29.95,60.0,119.8,39
MOV-005,Movement Boulder,Colorado,Medium,CB-001,Petzl Attache,Carabiners,Petzl,5,4,0.6,6.2,In Stock,8.0,16.95,32.0,67.8,25
MOV-005,Movement Boulder,Colorado,Medium,CB-002,Black Diamond RockLock,Carabiners,Black Diamond,5,2,0.8,2.5,Low,7.0,14.95,14.0,29.9,16
MOV-005,Movement Boulder,Colorado,Medium,CB-003,Petzl Djinn Quickdraw,Carabiners,Petzl,5,2,0.8,2.4,Low,12.0,24.95,24.0,49.9,45
MOV-005,Movement Boulder,Colorado,Medium,CB-101,Metolius Competition Chalk Bag,Chalk Bags,Metolius,8,6,1.0,5.9,In Stock,8.0,17.95,48.0,107.7,43
MOV-005,Movement Boulder,Colorado,Medium,CB-102,Mammut Gym Print Chalk Bag,Chalk Bags,Mammut,8,6,1.5,4.1,In Stock,10.0,21.95,60.0,131.7,45
MOV-005,Movement Boulder,Colorado,Medium,CB-103,Black Diamond Mojo Chalk Bag,Chalk Bags,Black Diamond,8,4,0.5,8.0,In Stock,9.0,19.95,36.0,79.8,8
MOV-005,Movement Boulder,Colorado,Medium,RP-001,Beal Stinger III 9.4mm,Ropes,Beal,5,3,0.7,4.3,In Stock,95.0,189.95,285.0,569.85,16
MOV-005,Movement Boulder,Colorado,Medium,RP-002,Mammut Crag Classic 9.8mm,Ropes,Mammut,5,3,0.9,3.5,Low,80.0,159.95,240.0,479.85,9
MOV-005,Movement Boulder,Colorado,Medium,AP-001,prAna Stretch Zion Pant,Apparel,prAna,10,3,1.3,2.3,Low,40.0,85.0,120.0,255.0,24
MOV-005,Movement Boulder,Colorado,Medium,AP-002,prAna Bridger Jean,Apparel,prAna,10,6,1.4,4.3,In Stock,35.0,75.0,210.0,450.0,44
MOV-005,Movement Boulder,Colorado,Medium,AP-003,Movement Logo Tee,Apparel,prAna,10,9,1.5,5.9,In Stock,8.0,25.0,72.0,225.0,10
MOV-005,Movement Boulder,Colorado,Medium,TR-001,Metolius Simulator 3D,Training,Metolius,5,3,0.9,3.3,Low,20.0,44.95,60.0,134.85,4
MOV-005,Movement Boulder,Colorado,Medium,TR-002,Metolius Rock Rings,Training,Metolius,5,4,0.5,7.7,In Stock,15.0,34.95,60.0,139.8,27
MOV-006,Movement Fountain,Colorado,Small,SH-001,La Sportiva Tarantula,Climbing Shoes,La Sportiva,7,1,1.1,0.9,Critical Low,45.0,89.95,45.0,89.95,17
MOV-006,Movement Fountain,Colorado,Small,SH-002,La Sportiva Finale,Climbing Shoes,La Sportiva,7,4,0.5,7.3,In Stock,50.0,99.95,200.0,399.8,50
MOV-006,Movement Fountain,Colorado,Small,SH-003,La Sportiva Solution,Climbing Shoes,La Sportiva,7,6,0.6,9.3,In Stock,95.0,189.95,570.0,1139.7,51
MOV-006,Movement Fountain,Colorado,Small,SH-004,Evolv Defy,Climbing Shoes,Evolv,7,4,0.6,7.2,In Stock,40.0,79.95,160.0,319.8,31
